r(m),T(K)
3.66000e-03,9.69752e+03
3.66500e-03,9.69588e+03
3.67000e-03,9.69424e+03
3.67500e-03,9.69258e+03
3.68000e-03,9.69093e+03
3.68500e-03,9.68926e+03
3.69000e-03,9.68760e+03
3.69500e-03,9.68592e+03
3.70000e-03,9.68424e+03
3.70500e-03,9.68256e+03
3.71000e-03,9.68086e+03
3.71500e-03,9.67917e+03
3.72000e-03,9.67746e+03
3.72500e-03,9.67575e+03
3.73000e-03,9.67404e+03
3.73500e-03,9.67231e+03
3.74000e-03,9.67059e+03
3.74500e-03,9.66885e+03
3.75000e-03,9.66711e+03
3.75500e-03,9.66537e+03
3.76000e-03,9.66362e+03
3.76500e-03,9.66186e+03
3.77000e-03,9.66009e+03
3.77500e-03,9.65832e+03
3.78000e-03,9.65655e+03
3.78500e-03,9.65477e+03
3.79000e-03,9.65298e+03
3.79500e-03,9.65118e+03
3.80000e-03,9.64938e+03
3.80500e-03,9.64757e+03
3.81000e-03,9.64576e+03
3.81500e-03,9.64394e+03
3.82000e-03,9.64211e+03
3.82500e-03,9.64028e+03
3.83000e-03,9.63844e+03
3.83500e-03,9.63659e+03
3.84000e-03,9.63474e+03
3.84500e-03,9.63288e+03
3.85000e-03,9.63102e+03
3.85500e-03,9.62915e+03
3.86000e-03,9.62727e+03
3.86500e-03,9.62538e+03
3.87000e-03,9.62349e+03
3.87500e-03,9.62159e+03
3.88000e-03,9.61969e+03
3.88500e-03,9.61778e+03
3.89000e-03,9.61586e+03
3.89500e-03,9.61393e+03
3.90000e-03,9.61200e+03
3.90500e-03,9.61006e+03
3.91000e-03,9.60812e+03
3.91500e-03,9.60617e+03
3.92000e-03,9.60421e+03
3.92500e-03,9.60224e+03
3.93000e-03,9.60027e+03
3.93500e-03,9.59829e+03
3.94000e-03,9.59631e+03
3.94500e-03,9.59431e+03
3.95000e-03,9.59231e+03
3.95500e-03,9.59031e+03
3.96000e-03,9.58829e+03
3.96500e-03,9.58627e+03
3.97000e-03,9.58425e+03
3.97500e-03,9.58221e+03
3.98000e-03,9.58017e+03
3.98500e-03,9.57812e+03
3.99000e-03,9.57606e+03
