r(cm)          U(V)           Ne(m^-3)       
0.436436       -5635.64       2.18879e+14    
0.437437       -5625.63       2.1736e+14     
0.438438       -5615.62       2.15848e+14    
0.439439       -5605.61       2.14343e+14    
0.44044        -5595.6        2.12845e+14    
0.441441       -5585.59       2.11354e+14    
0.442442       -5575.58       2.0987e+14     
0.443443       -5565.57       2.08394e+14    
0.444444       -5555.56       2.06924e+14    
0.445445       -5545.55       2.05462e+14    
0.446446       -5535.54       2.04007e+14    
0.447447       -5525.53       2.02559e+14    
0.448448       -5515.52       2.01118e+14    
0.449449       -5505.51       1.99684e+14    
0.45045        -5495.5        1.98258e+14    
0.451451       -5485.49       1.96838e+14    
0.452452       -5475.48       1.95426e+14    
0.453453       -5465.47       1.9402e+14     
0.454454       -5455.46       1.92622e+14    
0.455455       -5445.45       1.91231e+14    
0.456456       -5435.44       1.89847e+14    
0.457457       -5425.43       1.8847e+14     
0.458458       -5415.42       1.871e+14      
0.459459       -5405.41       1.85737e+14    
0.46046        -5395.4        1.84381e+14    
0.461461       -5385.39       1.83032e+14    
0.462462       -5375.38       1.8169e+14     
0.463463       -5365.37       1.80355e+14    
0.464464       -5355.36       1.79027e+14    
0.465465       -5345.35       1.77707e+14    
0.466466       -5335.34       1.76393e+14    
0.467467       -5325.33       1.75086e+14    
0.468468       -5315.32       1.73786e+14    
0.469469       -5305.31       1.72493e+14    
0.47047        -5295.3        1.71207e+14    
0.471471       -5285.29       1.69928e+14    
0.472472       -5275.28       1.68656e+14    
0.473473       -5265.27       1.67391e+14    
0.474474       -5255.26       1.66132e+14    
0.475475       -5245.25       1.64881e+14    
0.476476       -5235.24       1.63636e+14    
0.477477       -5225.23       1.62399e+14    
0.478478       -5215.22       1.61168e+14    
0.479479       -5205.21       1.59944e+14    
0.48048        -5195.2        1.58727e+14    
0.481481       -5185.19       1.57516e+14    
0.482482       -5175.18       1.56313e+14    
0.483483       -5165.17       1.55116e+14    
0.484484       -5155.16       1.53926e+14    
0.485485       -5145.15       1.52743e+14    
0.486486       -5135.14       1.51566e+14    
0.487487       -5125.13       1.50396e+14    
0.488488       -5115.12       1.49233e+14    
0.489489       -5105.11       1.48077e+14    
0.49049        -5095.1        1.46927e+14    
0.491491       -5085.09       1.45784e+14    
0.492492       -5075.08       1.44648e+14    
0.493493       -5065.07       1.43518e+14    
0.494494       -5055.06       1.42395e+14    
0.495495       -5045.05       1.41278e+14    
0.496496       -5035.04       1.40168e+14    
0.497497       -5025.03       1.39065e+14    
0.498498       -5015.02       1.37968e+14    
0.499499       -5005.01       1.36878e+14    
0.500501       -4994.99       1.35794e+14    
0.501502       -4984.98       1.34717e+14    
0.502503       -4974.97       1.33646e+14    
0.503504       -4964.96       1.32582e+14    
0.504505       -4954.95       1.31524e+14    
0.505506       -4944.94       1.30473e+14    
0.506507       -4934.93       1.29428e+14    
0.507508       -4924.92       1.28389e+14    
0.508509       -4914.91       1.27357e+14    
0.50951        -4904.9        1.26331e+14    
0.510511       -4894.89       1.25311e+14    
0.511512       -4884.88       1.24298e+14    
0.512513       -4874.87       1.23291e+14    
0.513514       -4864.86       1.2229e+14     
0.514515       -4854.85       1.21296e+14    
0.515516       -4844.84       1.20308e+14    
0.516517       -4834.83       1.19326e+14    
0.517518       -4824.82       1.1835e+14     
0.518519       -4814.81       1.1738e+14     
0.51952        -4804.8        1.16417e+14    
0.520521       -4794.79       1.1546e+14     
0.521522       -4784.78       1.14508e+14    
0.522523       -4774.77       1.13563e+14    
0.523524       -4764.76       1.12624e+14    
0.524525       -4754.75       1.11692e+14    
0.525526       -4744.74       1.10765e+14    
0.526527       -4734.73       1.09844e+14    
0.527528       -4724.72       1.08929e+14    
0.528529       -4714.71       1.0802e+14     
0.52953        -4704.7        1.07117e+14    
0.530531       -4694.69       1.0622e+14     
0.531532       -4684.68       1.05329e+14    
0.532533       -4674.67       1.04444e+14    
0.533534       -4664.66       1.03564e+14    
0.534535       -4654.65       1.02691e+14    
0.535536       -4644.64       1.01823e+14    
0.536537       -4634.63       1.00961e+14    
0.537538       -4624.62       1.00105e+14    
0.538539       -4614.61       9.92549e+13    
0.53954        -4604.6        9.84103e+13    
0.540541       -4594.59       9.75714e+13    
0.541542       -4584.58       9.67382e+13    
0.542543       -4574.57       9.59107e+13    
0.543544       -4564.56       9.50888e+13    
0.544545       -4554.55       9.42725e+13    
0.545546       -4544.54       9.34618e+13    
0.546547       -4534.53       9.26567e+13    
0.547548       -4524.52       9.18572e+13    
0.548549       -4514.51       9.10632e+13    
0.54955        -4504.5        9.02747e+13    
0.550551       -4494.49       8.94916e+13    
0.551552       -4484.48       8.87141e+13    
0.552553       -4474.47       8.7942e+13     
0.553554       -4464.46       8.71752e+13    
0.554555       -4454.45       8.64139e+13    
0.555556       -4444.44       8.5658e+13     
0.556557       -4434.43       8.49074e+13    
0.557558       -4424.42       8.41621e+13    
0.558559       -4414.41       8.34221e+13    
0.55956        -4404.4        8.26874e+13    
0.560561       -4394.39       8.1958e+13     
0.561562       -4384.38       8.12337e+13    
0.562563       -4374.37       8.05147e+13    
0.563564       -4364.36       7.98009e+13    
0.564565       -4354.35       7.90922e+13    
0.565566       -4344.34       7.83886e+13    
0.566567       -4334.33       7.76902e+13    
0.567568       -4324.32       7.69968e+13    
0.568569       -4314.31       7.63085e+13    
0.56957        -4304.3        7.56253e+13    
0.570571       -4294.29       7.4947e+13     
0.571572       -4284.28       7.42738e+13    
0.572573       -4274.27       7.36055e+13    
0.573574       -4264.26       7.29421e+13    
0.574575       -4254.25       7.22837e+13    
0.575576       -4244.24       7.16302e+13    
0.576577       -4234.23       7.09815e+13    
0.577578       -4224.22       7.03377e+13    
0.578579       -4214.21       6.96987e+13    
0.57958        -4204.2        6.90645e+13    
0.580581       -4194.19       6.8435e+13     
0.581582       -4184.18       6.78104e+13    
0.582583       -4174.17       6.71904e+13    
0.583584       -4164.16       6.65752e+13    
0.584585       -4154.15       6.59646e+13    
0.585586       -4144.14       6.53587e+13    
0.586587       -4134.13       6.47574e+13    
0.587588       -4124.12       6.41607e+13    
0.588589       -4114.11       6.35686e+13    
0.58959        -4104.1        6.2981e+13     
0.590591       -4094.09       6.2398e+13     
0.591592       -4084.08       6.18195e+13    
0.592593       -4074.07       6.12455e+13    
0.593594       -4064.06       6.06759e+13    
0.594595       -4054.05       6.01108e+13    
0.595596       -4044.04       5.95501e+13    
0.596597       -4034.03       5.89938e+13    
0.597598       -4024.02       5.84418e+13    
0.598599       -4014.01       5.78942e+13    
0.5996         -4004          5.73509e+13    
0.600601       -3993.99       5.68119e+13    
0.601602       -3983.98       5.62771e+13    
0.602603       -3973.97       5.57466e+13    
