r(cm),U(V),Ne(m^-3)
0.377377,-6226.23,3.21E+14
0.378378,-6216.22,3.19E+14
0.379379,-6206.21,3.17E+14
0.38038,-6196.2,3.15E+14
0.381381,-6186.19,3.13E+14
0.382382,-6176.18,3.11E+14
0.383383,-6166.17,3.10E+14
0.384384,-6156.16,3.08E+14
0.385385,-6146.15,3.06E+14
0.386386,-6136.14,3.04E+14
0.387387,-6126.13,3.02E+14
0.388388,-6116.12,3.00E+14
0.389389,-6106.11,2.98E+14
0.39039,-6096.1,2.96E+14
0.391391,-6086.09,2.95E+14
0.392392,-6076.08,2.93E+14
0.393393,-6066.07,2.91E+14
0.394394,-6056.06,2.89E+14
0.395395,-6046.05,2.87E+14
0.396396,-6036.04,2.85E+14
0.397397,-6026.03,2.84E+14
0.398398,-6016.02,2.82E+14
0.399399,-6006.01,2.80E+14
0.4004,-5996,2.78E+14
0.401401,-5985.99,2.77E+14
0.402402,-5975.98,2.75E+14
0.403403,-5965.97,2.73E+14
0.404404,-5955.96,2.71E+14
0.405405,-5945.95,2.70E+14
0.406406,-5935.94,2.68E+14
0.407407,-5925.93,2.66E+14
0.408408,-5915.92,2.64E+14
0.409409,-5905.91,2.63E+14
0.41041,-5895.9,2.61E+14
0.411411,-5885.89,2.59E+14
0.412412,-5875.88,2.57E+14
0.413413,-5865.87,2.56E+14
0.414414,-5855.86,2.54E+14
0.415415,-5845.85,2.52E+14
0.416416,-5835.84,2.51E+14
0.417417,-5825.83,2.49E+14
0.418418,-5815.82,2.47E+14
0.419419,-5805.81,2.46E+14
0.42042,-5795.8,2.44E+14
0.421421,-5785.79,2.43E+14
0.422422,-5775.78,2.41E+14
0.423423,-5765.77,2.39E+14
0.424424,-5755.76,2.38E+14
0.425425,-5745.75,2.36E+14
0.426426,-5735.74,2.34E+14
0.427427,-5725.73,2.33E+14
0.428428,-5715.72,2.31E+14
0.429429,-5705.71,2.30E+14
0.43043,-5695.7,2.28E+14
0.431431,-5685.69,2.27E+14
0.432432,-5675.68,2.25E+14
0.433433,-5665.67,2.23E+14
0.434434,-5655.66,2.22E+14
0.435435,-5645.65,2.20E+14
0.436436,-5635.64,2.19E+14
0.437437,-5625.63,2.17E+14
0.438438,-5615.62,2.16E+14
0.439439,-5605.61,2.14E+14
0.44044,-5595.6,2.13E+14
0.441441,-5585.59,2.11E+14
0.442442,-5575.58,2.10E+14
0.443443,-5565.57,2.08E+14
0.444444,-5555.56,2.07E+14
0.445445,-5545.55,2.05E+14
0.446446,-5535.54,2.04E+14
0.447447,-5525.53,2.03E+14
0.448448,-5515.52,2.01E+14
0.449449,-5505.51,2.00E+14
0.45045,-5495.5,1.98E+14
0.451451,-5485.49,1.97E+14
