r(cm)          U(V)           Ne(m^-3)       
0.358358       -7161.46       5.72196e+15    
0.359359       -7151.68       5.7075e+15     
0.36036        -7141.88       5.69294e+15    
0.361361       -7132.08       5.6783e+15     
0.362362       -7122.26       5.66357e+15    
0.363363       -7112.44       5.64875e+15    
0.364364       -7102.61       5.63384e+15    
0.365365       -7092.76       5.61884e+15    
0.366366       -7082.91       5.60376e+15    
0.367367       -7073.05       5.58858e+15    
0.368368       -7063.18       5.57333e+15    
0.369369       -7053.3        5.55798e+15    
0.37037        -7043.41       5.54256e+15    
0.371371       -7033.51       5.52704e+15    
0.372372       -7023.6        5.51145e+15    
0.373373       -7013.68       5.49577e+15    
0.374374       -7003.75       5.48002e+15    
0.375375       -6993.81       5.46418e+15    
0.376376       -6983.87       5.44826e+15    
0.377377       -6973.91       5.43226e+15    
0.378378       -6963.95       5.41619e+15    
0.379379       -6953.97       5.40004e+15    
0.38038        -6943.99       5.38381e+15    
0.381381       -6934          5.3675e+15     
0.382382       -6924          5.35112e+15    
0.383383       -6913.98       5.33467e+15    
0.384384       -6903.96       5.31814e+15    
0.385385       -6893.94       5.30154e+15    
0.386386       -6883.9        5.28486e+15    
0.387387       -6873.85       5.26812e+15    
0.388388       -6863.8        5.25131e+15    
0.389389       -6853.73       5.23443e+15    
0.39039        -6843.66       5.21747e+15    
0.391391       -6833.58       5.20046e+15    
0.392392       -6823.48       5.18337e+15    
0.393393       -6813.38       5.16622e+15    
0.394394       -6803.28       5.149e+15      
0.395395       -6793.16       5.13172e+15    
0.396396       -6783.03       5.11438e+15    
0.397397       -6772.9        5.09697e+15    
0.398398       -6762.75       5.0795e+15     
0.399399       -6752.6        5.06197e+15    
0.4004         -6742.44       5.04438e+15    
0.401401       -6732.27       5.02674e+15    
0.402402       -6722.09       5.00903e+15    
0.403403       -6711.91       4.99127e+15    
0.404404       -6701.71       4.97345e+15    
0.405405       -6691.51       4.95557e+15    
0.406406       -6681.3        4.93764e+15    
0.407407       -6671.08       4.91966e+15    
0.408408       -6660.85       4.90163e+15    
0.409409       -6650.61       4.88354e+15    
0.41041        -6640.36       4.8654e+15     
0.411411       -6630.11       4.84721e+15    
0.412412       -6619.85       4.82898e+15    
0.413413       -6609.58       4.81069e+15    
0.414414       -6599.3        4.79236e+15    
0.415415       -6589.01       4.77398e+15    
0.416416       -6578.72       4.75556e+15    
0.417417       -6568.42       4.73709e+15    
0.418418       -6558.1        4.71858e+15    
0.419419       -6547.79       4.70003e+15    
0.42042        -6537.46       4.68144e+15    
0.421421       -6527.12       4.66281e+15    
0.422422       -6516.78       4.64413e+15    
0.423423       -6506.43       4.62542e+15    
0.424424       -6496.07       4.60667e+15    
0.425425       -6485.7        4.58789e+15    
0.426426       -6475.33       4.56907e+15    
0.427427       -6464.95       4.55021e+15    
0.428428       -6454.56       4.53133e+15    
0.429429       -6444.16       4.51241e+15    
0.43043        -6433.75       4.49345e+15    
0.431431       -6423.34       4.47447e+15    
0.432432       -6412.92       4.45546e+15    
0.433433       -6402.49       4.43642e+15    
0.434434       -6392.05       4.41735e+15    
0.435435       -6381.61       4.39826e+15    
0.436436       -6371.16       4.37914e+15    
0.437437       -6360.7        4.35999e+15    
0.438438       -6350.23       4.34082e+15    
0.439439       -6339.76       4.32163e+15    
0.44044        -6329.28       4.30242e+15    
